origin_polygon_up,destination_polygon_up,count
100,100,1616
100,109,162
100,111,96
100,112,40
100,65,2
100,66,4
100,68,3
100,69,4
100,71,1
100,72,2
100,74,11
100,77,5
100,81,5
100,82,6
100,83,10
100,84,50
100,89,55
100,91,65
100,94,150
109,100,72
109,109,3214
109,111,233
109,112,103
109,64,1
109,66,2
109,68,3
109,69,2
109,71,7
109,72,16
109,74,18
109,77,3
109,81,3
109,82,2
109,83,1
109,84,3
109,89,9
109,91,3
109,94,25
111,100,12
111,109,298
111,111,3307
111,112,95
111,66,1
111,71,5
111,72,12
111,74,9
111,77,1
111,81,5
111,82,3
111,83,1
111,84,1
111,89,6
111,91,7
111,94,14
112,100,26
112,109,122
112,111,208
112,112,2488
112,68,1
112,71,3
112,72,5
112,74,5
112,77,1
112,81,2
112,82,3
112,83,3
112,84,3
112,89,4
112,91,10
112,94,32
13,13,2164
13,19,253
13,21,33
13,24,33
13,26,8
13,28,43
13,29,19
13,35,36
13,39,6
13,42,4
13,45,2
13,51,1
13,60,1
13,64,1
13,65,1
13,69,2
19,13,334
19,19,8761
19,21,43
19,24,49
19,26,22
19,28,83
19,29,48
19,35,8
19,39,3
19,41,1
19,42,3
19,45,2
19,60,2
21,13,197
21,19,358
21,21,4770
21,24,412
21,26,131
21,28,246
21,29,63
21,35,40
21,39,12
21,42,9
21,45,5
21,47,1
21,49,2
21,64,4
21,65,2
21,69,2
21,74,1
24,13,135
24,19,247
24,21,715
24,24,1402
24,26,209
24,28,208
24,29,58
24,35,42
24,39,12
24,42,5
24,45,11
24,49,2
24,55,1
24,58,1
24,65,1
24,66,2
24,68,3
24,69,2
26,13,148
26,19,165
26,21,613
26,24,3807
26,26,1126
26,28,492
26,29,93
26,35,59
26,39,9
26,42,11
26,45,8
26,47,3
26,49,2
26,51,2
26,55,1
26,58,2
26,60,1
26,64,1
26,65,3
26,66,1
26,69,3
26,71,1
26,72,1
26,74,1
28,13,109
28,19,194
28,21,230
