BatchId,ClientId,SampleId,ClientSampleId,Capture time (MT),Lat,Long,SiteName,PublishStatus
JVB2844,jaltstatt@ucsb.edu,ZLFMAMJU,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,Y3RZU22O,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,WTV5QB5C,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,WERVP6AY,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,VNZLO8JZ,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,V77L1UL8,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,V5KEAS3P,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,TR67IEXG,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S24KQEC1,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067818,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067817,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067816,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067815,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067814,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067813,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067812,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067811,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067810,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067809,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067808,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067807,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067806,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067805,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067804,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067803,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067802,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067801,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,S067800,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,RETQAYOQ,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,QF1RUJMC,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,Q0J6O0D3,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,PSQ9AVZ3,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,NXD77NCP,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,NT19A1KV,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,NQS8GARL,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,NLS5AX2R,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,M6RKEOC1,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,LVPK538M,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,LN43J5XY,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,L6JF9ZEO,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,L2HICHM9,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,KYA4P0OH,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,K2FDNJPK,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,K1EJOWK2,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,J56S13AH,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,J05DB2JT,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,IXH9BXHD,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,IX1DB5G7,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,IMKMOD1U,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,IH6DU0VI,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,I1WGZEW8,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,HX7JE1HA,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,HN55XHJE,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,HBEDDN98,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,CKLWQUDP,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,AY75KR17,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,AMOH0EYG,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,9K8018VV,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,8NKMWYBK,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,70HWBCSE,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,5IWZJICL,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,53XLWRXU,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,2MDU9M49,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,2IWTWQS7,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,2E262SBE,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,26R7WZHG,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,0EPSLXQL,,,,,,Private
JVB2844,jaltstatt@ucsb.edu,04VHSXPB,,,,,,Private
