Sites,Year,Latitude,Longitude,eDNA_MARINe_Sites,Notes,MARINe_years,,,,,,,,
Duxbery Reef,2024,37.89757919,-122.71071,Alder Creek; Duxbury,,2008,,,,,,,,
Davenport Landing,2024,37.02207947,-122.21538,Davenport Landing,,2007,2018,2019,2020,,,,,
Carmel Point,2024,36.544706,-121.933789,Stillwater,,2001,2005,2014,2015,2016,2017,2020,,
Shell Beach,2024,35.1688118,-120.69668,Shell Beach,,2001,2006,2019,,,,,,
Coal Oil Point,2024,34.40692902,-119.87804,Coal Oil Point,,2002,2006,2012,2014,2015,2016,2017,2019,2021
Mussel Shoals,2024,34.35548019,-119.44073,Mussel Shoals,,2001,2015,2016,2019,2022,,,,
White Point,2024,33.71538925,-118.31961,White Point,,2001,2008,2018,,,,,,
Shaws Cove,2024,33.54476929,-117.79941,Shaws Cove,,2001,2005,2012,2014,2017,,,,
Sunset Cliff,2024,32.71913147,-117.25683,Sunset Cliffs,,2022,,,,,,,,
Punta Banda,2024,31.74981,-116.740663,La Bufadora,,2003,,,,,,,,
Punta Baja,2024,29.948708,-115.812032,Punta Baja,,2003,,,,,,,,
Punta Rompiente,2024,27.72610092,-114.99477,Punta Rompiente,,2003,,,,,,,,
San Roque,2024,27.17717934,-114.39802,Punta San Roque,,2003,,,,,,,,
Punta Abrejos,2024,26.70548058,-113.5763,Punta Abrejos,,2003,,,,,,,,
San Juanico,2024,26.25381,-112.477316,San Juanico,"San Abrejos is closest, but still a bit far",,,,,,,,,
