"","Sites","Latitude","Longitude","Source"
"1","Alegria",34.4671402,-120.27738,"MARINe"
"2","Andrew Molera",36.28060913,-121.86317,"MARINe"
"3","Ano Nuevo",37.10778046,-122.29444,"MARINe"
"4","Arroyo Hondo",34.47343826,-120.1454,"MARINe"
"5","Bird Rock",33.45145035,-118.48763,"MARINe"
"6","Boat House",34.55387878,-120.61167,"MARINe"
"7","Bodega",38.31819916,-123.07365,"MARINe"
"8","Bolinas Point",37.90354156,-122.72721,"MARINe"
"9","Cabrillo I",32.66947174,-117.2455,"MARINe"
"10","Cabrillo III",32.6658287,-117.24417,"MARINe"
"11","Cape Mendocino",40.3409996,-124.36317,"MARINe"
"12","Carpinteria",34.38703156,-119.51407,"MARINe"
"13","Cat Rock",34.00556946,-119.41925,"MARINe"
"14","Cayucos",35.44739151,-120.94982,"MARINe"
"15","Coal Oil Point",34.40692902,-119.87804,"MARINe"
"16","Crook Point",34.02159119,-120.37887,"MARINe"
"17","Crystal Cove",33.57078171,-117.83773,"MARINe"
"18","Cuyler Harbor",34.04854965,-120.33642,"MARINe"
"19","Dana Point",33.4598999,-117.71475,"MARINe"
"20","Duck Pond",35.85916901,-121.42233,"MARINe"
"21","East Point",33.94269943,-119.96797,"MARINe"
"22","Fitzgerald Marine Reserve",37.5216713,-122.51667,"MARINe"
"23","Ford Point",33.91453171,-120.05024,"MARINe"
"24","Forney",34.05638885,-119.92222,"MARINe"
"25","Fossil Reef",33.9931488,-120.23758,"MARINe"
"26","Fraser Cove",34.06264877,-119.91915,"MARINe"
"27","Government Point",34.4433403,-120.45655,"MARINe"
"28","Hazards",35.28966141,-120.88325,"MARINe"
"29","Hopkins",36.62120056,-121.9073,"MARINe"
"30","Johnsons Lee",33.90871811,-120.08629,"MARINe"
"31","Kibesillah Hill",39.60411835,-123.78887,"MARINe"
"32","La Bufadora",31.72407913,-116.71423,"MARINe"
"33","La Chorera",30.47035027,-116.04695,"MARINe"
"34","Landing Cove",33.48157883,-119.02958,"MARINe"
"35","Little Harbor",33.38499069,-118.4752,"MARINe"
"36","Marker Poles",33.21868134,-119.49562,"MARINe"
"37","Middle West",34.00590134,-119.39649,"MARINe"
"38","Mill Creek",35.97964859,-121.49034,"MARINe"
"39","Mussel Shoals",34.35548019,-119.44073,"MARINe"
"40","NW Talcott",34.00957108,-120.2176,"MARINe"
"41","Old Stairs",34.06612015,-118.99779,"MARINe"
"42","Paradise Cove",34.01200867,-118.79225,"MARINe"
"43","Partington Cove",36.17375946,-121.69653,"MARINe"
"44","Pigeon Point",37.18360901,-122.39529,"MARINe"
"45","Point Fermin",33.70679092,-118.28599,"MARINe"
"46","Point Lobos",36.51366043,-121.94688,"MARINe"
"47","Point Sierra Nevada",35.72882843,-121.31866,"MARINe"
"48","Prisoners Harbor",34.02037811,-119.6867,"MARINe"
"49","Punta Abreojos",26.70548058,-113.5763,"MARINe"
"50","Punta Baja",29.94898033,-115.81207,"MARINe"
"51","Punta Libertad",29.83382034,-112.65013,"MARINe"
"52","Punta Rompiente",27.72610092,-114.99477,"MARINe"
"53","Punta San Roque",27.17717934,-114.39802,"MARINe"
"54","Rancho Marino; Cambria",35.52244186,-121.073,"MARINe"
"55","S Frenchys Cove",34.00659943,-119.41077,"MARINe"
"56","Santa Maria Creek",38.01242828,-122.84915,"MARINe"
"57","Scott Creek",37.04425049,-122.23493,"MARINe"
"58","Scripps Reef",32.8716507,-117.25328,"MARINe"
"59","Sea Lion Rookery",33.47201157,-119.03066,"MARINe"
"60","Sea Ranch",38.73049927,-123.48864,"MARINe"
"61","Shaws Cove",33.54476929,-117.79941,"MARINe"
"62","Shell Beach",35.1688118,-120.69668,"MARINe"
"63","Shelter Cove",40.02254105,-124.07366,"MARINe"
"64","Stairs",34.73038101,-120.61546,"MARINe"
"65","Stillwater",36.56087112,-121.94053,"MARINe"
"66","Terrace Point",36.94841003,-122.06457,"MARINe"
"67","Thousand Springs",33.28504944,-119.52983,"MARINe"
"68","Trailer",34.05186844,-119.9032,"MARINe"
"69","Valley",33.98389053,-119.66583,"MARINe"
"70","White Point",33.71538925,-118.31961,"MARINe"
"71","Willows Anchorage",33.96183014,-119.75495,"MARINe"
