"","Sites","Latitude","Longitude","Source"
"1","Andrew Molera",36.28060913,-121.86317,"MARINe"
"2","Ano Nuevo",37.10778046,-122.29444,"MARINe"
"3","Boat House",34.55387878,-120.61167,"MARINe"
"4","Cayucos",35.44739151,-120.94982,"MARINe"
"5","Duck Pond",35.85916901,-121.42233,"MARINe"
"6","Fitzgerald Marine Reserve",37.5216713,-122.51667,"MARINe"
"7","Hazards",35.28966141,-120.88325,"MARINe"
"8","Hopkins",36.62120056,-121.9073,"MARINe"
"9","Mill Creek",35.97964859,-121.49034,"MARINe"
"10","Partington Cove",36.17375946,-121.69653,"MARINe"
"11","Pigeon Point",37.18360901,-122.39529,"MARINe"
"12","Point Lobos",36.51366043,-121.94688,"MARINe"
"13","Point Sierra Nevada",35.72882843,-121.31866,"MARINe"
"14","Rancho Marino; Cambria",35.52244186,-121.073,"MARINe"
"15","Scott Creek",37.04425049,-122.23493,"MARINe"
"16","Shell Beach",35.1688118,-120.69668,"MARINe"
"17","Stairs",34.73038101,-120.61546,"MARINe"
"18","Stillwater",36.56087112,-121.94053,"MARINe"
"19","Terrace Point",36.94841003,-122.06457,"MARINe"
"20","Bodega",38.31819916,-123.07365,"MARINe"
"21","Bolinas Point",37.90354156,-122.72721,"MARINe"
"22","Cape Mendocino",40.3409996,-124.36317,"MARINe"
"23","Kibesillah Hill",39.60411835,-123.78887,"MARINe"
"24","Santa Maria Creek",38.01242828,-122.84915,"MARINe"
"25","Sea Ranch",38.73049927,-123.48864,"MARINe"
"26","Shelter Cove",40.02254105,-124.07366,"MARINe"
"27","Alegria",34.4671402,-120.27738,"MARINe"
"28","Arroyo Hondo",34.47343826,-120.1454,"MARINe"
"29","Cabrillo I",32.66947174,-117.2455,"MARINe"
"30","Cabrillo III",32.6658287,-117.24417,"MARINe"
"31","Carpinteria",34.38703156,-119.51407,"MARINe"
"32","Coal Oil Point",34.40692902,-119.87804,"MARINe"
"33","Crystal Cove",33.57078171,-117.83773,"MARINe"
"34","Dana Point",33.4598999,-117.71475,"MARINe"
"35","Government Point",34.4433403,-120.45655,"MARINe"
"36","Mussel Shoals",34.35548019,-119.44073,"MARINe"
"37","Old Stairs",34.06612015,-118.99779,"MARINe"
"38","Paradise Cove",34.01200867,-118.79225,"MARINe"
"39","Point Fermin",33.70679092,-118.28599,"MARINe"
"40","Scripps Reef",32.8716507,-117.25328,"MARINe"
"41","Shaws Cove",33.54476929,-117.79941,"MARINe"
"42","White Point",33.71538925,-118.31961,"MARINe"
"43","La Bufadora",31.72407913,-116.71423,"MARINe"
"44","La Chorera",30.47035027,-116.04695,"MARINe"
"45","Punta Abreojos",26.70548058,-113.5763,"MARINe"
"46","Punta Baja",29.94898033,-115.81207,"MARINe"
"47","Punta Rompiente",27.72610092,-114.99477,"MARINe"
"48","Punta San Roque",27.17717934,-114.39802,"MARINe"
