,origin_polygon,destination_polygon,log10_count,origin_polygon_up,destination_polygon_up
0,2.0,1.0,3.6582976503081897,13,12
1,2.0,3.0,3.13956426617585,13,19
2,2.0,4.0,1.8976270912904414,13,21
3,2.0,5.0,1.7160033436347992,13,24
4,2.0,6.0,1.255272505103306,13,26
5,2.0,7.0,2.1172712956557644,13,28
6,2.0,8.0,1.6720978579357175,13,29
7,2.0,9.0,1.8129133566428557,13,35
8,2.0,10.0,1.2304489213782739,13,39
9,2.0,11.0,0.3010299956639812,13,40
10,2.0,12.0,0.47712125471966244,13,41
11,2.0,13.0,1.1760912590556813,13,42
12,2.0,14.0,1.2304489213782739,13,45
13,2.0,15.0,0.7781512503836436,13,47
14,2.0,16.0,0.47712125471966244,13,49
15,2.0,17.0,0.3010299956639812,13,51
16,2.0,19.0,0.0,13,55
17,2.0,21.0,0.0,13,58
18,2.0,22.0,0.0,13,60
19,2.0,23.0,0.0,13,64
20,2.0,24.0,0.47712125471966244,13,65
21,2.0,25.0,0.0,13,66
22,2.0,26.0,0.0,13,68
23,2.0,27.0,0.0,13,69
24,2.0,30.0,0.0,13,74
25,2.0,31.0,0.3010299956639812,13,77
26,3.0,1.0,2.5646660642520893,19,12
27,3.0,3.0,3.932980821923198,19,19
28,3.0,4.0,1.9242792860618816,19,21
29,3.0,5.0,1.3979400086720377,19,24
30,3.0,6.0,1.0,19,26
31,3.0,7.0,1.7242758696007892,19,28
32,3.0,8.0,1.3802112417116061,19,29
33,3.0,9.0,1.6020599913279625,19,35
34,3.0,10.0,1.1139433523068367,19,39
35,3.0,13.0,1.3424226808222062,19,42
36,3.0,14.0,0.9542425094393249,19,45
37,3.0,15.0,0.6020599913279624,19,47
38,3.0,16.0,0.7781512503836436,19,49
39,3.0,17.0,0.3010299956639812,19,51
40,3.0,19.0,0.47712125471966244,19,55
41,3.0,21.0,0.0,19,58
42,3.0,27.0,0.3010299956639812,19,69
43,3.0,29.0,0.3010299956639812,19,72
44,3.0,30.0,0.0,19,74
45,3.0,31.0,0.6020599913279624,19,77
46,3.0,34.0,0.0,19,83
47,4.0,1.0,2.0718820073061255,21,12
48,4.0,3.0,3.2704459080179626,21,19
49,4.0,4.0,3.338456493604605,21,21
50,4.0,5.0,3.0149403497929366,21,24
51,4.0,6.0,2.359835482339888,21,26
52,4.0,7.0,2.419955748489758,21,28
53,4.0,8.0,1.8325089127062364,21,29
54,4.0,9.0,1.9684829485539352,21,35
55,4.0,10.0,1.6020599913279625,21,39
56,4.0,11.0,0.6020599913279624,21,40
57,4.0,12.0,0.9030899869919435,21,41
58,4.0,13.0,1.6232492903979006,21,42
59,4.0,14.0,1.146128035678238,21,45
60,4.0,15.0,0.9542425094393249,21,47
61,4.0,16.0,1.0413926851582251,21,49
62,4.0,17.0,0.3010299956639812,21,51
63,4.0,18.0,0.6989700043360189,21,53
64,4.0,19.0,0.8450980400142568,21,55
65,4.0,20.0,0.7781512503836436,21,57
66,4.0,22.0,0.47712125471966244,21,60
67,4.0,23.0,0.6989700043360189,21,64
68,4.0,26.0,0.6020599913279624,21,68
69,4.0,27.0,0.0,21,69
70,4.0,28.0,0.47712125471966244,21,71
71,4.0,30.0,0.3010299956639812,21,74
72,4.0,31.0,0.6989700043360189,21,77
73,4.0,33.0,0.3010299956639812,21,82
74,5.0,1.0,1.8976270912904414,24,12
75,5.0,3.0,2.949877704036875,24,19
76,5.0,4.0,2.9703468762300935,24,21
77,5.0,5.0,3.0472748673841794,24,24
78,5.0,6.0,2.499687082618404,24,26
79,5.0,7.0,2.4456042032735974,24,28
80,5.0,8.0,2.0253058652647704,24,29
81,5.0,9.0,1.8325089127062364,24,35
82,5.0,10.0,1.5797835966168101,24,39
83,5.0,11.0,0.3010299956639812,24,40
84,5.0,12.0,1.0,24,41
85,5.0,13.0,1.6434526764861874,24,42
86,5.0,14.0,1.4471580313422192,24,45
87,5.0,15.0,1.2304489213782739,24,47
88,5.0,16.0,1.0,24,49
89,5.0,17.0,0.9030899869919435,24,51
90,5.0,18.0,0.6989700043360189,24,53
91,5.0,19.0,0.9542425094393249,24,55
92,5.0,20.0,0.6989700043360189,24,57
93,5.0,21.0,0.47712125471966244,24,58
94,5.0,22.0,0.3010299956639812,24,60
95,5.0,23.0,0.3010299956639812,24,64
96,5.0,25.0,0.0,24,66
97,5.0,26.0,0.0,24,68
98,5.0,27.0,0.3010299956639812,24,69
99,5.0,28.0,0.47712125471966244,24,71
100,5.0,30.0,0.0,24,74
101,5.0,31.0,0.6989700043360189,24,77
102,5.0,32.0,0.3010299956639812,24,81
103,5.0,34.0,0.0,24,83
104,6.0,1.0,2.0,26,12
105,6.0,3.0,2.9947569445876283,26,19
106,6.0,4.0,3.0842186867392387,26,21
107,6.0,5.0,3.3205616801952367,26,24
108,6.0,6.0,2.842609239610562,26,26
109,6.0,7.0,2.6570558528571038,26,28
110,6.0,8.0,2.164352855784437,26,29
111,6.0,9.0,1.863322860120456,26,35
112,6.0,10.0,1.5440680443502757,26,39
113,6.0,11.0,1.1139433523068367,26,40
114,6.0,12.0,1.2041199826559248,26,41
115,6.0,13.0,1.6434526764861874,26,42
116,6.0,14.0,1.5440680443502757,26,45
117,6.0,15.0,1.3010299956639813,26,47
118,6.0,16.0,1.255272505103306,26,49
119,6.0,17.0,0.7781512503836436,26,51
120,6.0,18.0,0.6020599913279624,26,53
121,6.0,19.0,0.9030899869919435,26,55
122,6.0,20.0,0.7781512503836436,26,57
123,6.0,21.0,0.6989700043360189,26,58
124,6.0,22.0,0.3010299956639812,26,60
125,6.0,23.0,0.47712125471966244,26,64
126,6.0,24.0,0.47712125471966244,26,65
127,6.0,25.0,0.47712125471966244,26,66
128,6.0,27.0,0.47712125471966244,26,69
129,6.0,28.0,0.0,26,71
130,6.0,30.0,0.3010299956639812,26,74
131,6.0,31.0,0.7781512503836436,26,77
132,6.0,32.0,0.0,26,81
133,6.0,33.0,0.3010299956639812,26,82
134,6.0,35.0,0.3010299956639812,26,84
135,7.0,1.0,1.5314789170422551,28,12
136,7.0,3.0,2.322219294733919,28,19
137,7.0,4.0,2.24551266781415,28,21
138,7.0,5.0,2.578639209968072,28,24
139,7.0,6.0,2.6599162000698504,28,26
140,7.0,7.0,3.1970047280230456,28,28
141,7.0,8.0,2.338456493604605,28,29
142,7.0,9.0,1.863322860120456,28,35
143,7.0,10.0,1.6127838567197355,28,39
144,7.0,11.0,0.8450980400142568,28,40
145,7.0,12.0,0.9542425094393249,28,41
146,7.0,13.0,1.7075701760979363,28,42
147,7.0,14.0,1.5185139398778875,28,45
148,7.0,15.0,1.0,28,47
149,7.0,16.0,1.3424226808222062,28,49
150,7.0,17.0,0.7781512503836436,28,51
151,7.0,18.0,0.47712125471966244,28,53
152,7.0,19.0,0.6020599913279624,28,55
153,7.0,20.0,0.7781512503836436,28,57
154,7.0,21.0,0.0,28,58
