polygon_id_origin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
1.0,406.0,2.0,126.0,27.0,9.0,4.0,8.0,4.0,8.0,9.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,45.0,1.0,47.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,107.0,0.0,415.0,22.0,4.0,2.0,6.0,2.0,4.0,8.0,2.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,34.0,0.0,191.0,230.0,39.0,37.0,50.0,13.0,17.0,16.0,1.0,0.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,7.0,1.0,29.0,66.0,16.0,20.0,30.0,6.0,8.0,12.0,2.0,3.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,6.0,0.0,40.0,52.0,15.0,15.0,26.0,7.0,9.0,3.0,2.0,1.0,8.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,19.0,0.0,26.0,63.0,33.0,39.0,218.0,38.0,25.0,15.0,4.0,2.0,16.0,8.0,6.0,3.0,1.0,3.0,1.0,5.0,0.0,5.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,0.0,2.0,9.0,4.0,1.0,10.0,8.0,6.0,6.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,3.0,0.0,11.0,15.0,8.0,14.0,23.0,141.0,85.0,54.0,7.0,5.0,17.0,15.0,7.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,2.0,0.0,9.0,12.0,3.0,9.0,20.0,69.0,119.0,124.0,15.0,4.0,31.0,14.0,6.0,1.0,2.0,4.0,5.0,6.0,1.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,4.0,2.0,0.0,0.0,9.0,18.0,26.0,128.0,170.0,34.0,34.0,20.0,11.0,2.0,7.0,3.0,2.0,3.0,2.0,3.0,5.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,6.0,14.0,35.0,13.0,15.0,13.0,3.0,2.0,5.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,4.0,12.0,27.0,5.0,31.0,23.0,8.0,5.0,13.0,17.0,16.0,7.0,2.0,3.0,10.0,6.0,4.0,5.0,2.0,4.0,1.0,0.0,7.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
14.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,4.0,0.0,1.0,13.0,21.0,4.0,5.0,12.0,22.0,17.0,10.0,6.0,9.0,10.0,6.0,4.0,4.0,8.0,9.0,1.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
15.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,13.0,31.0,5.0,2.0,9.0,13.0,15.0,16.0,6.0,7.0,4.0,3.0,2.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
16.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,10.0,21.0,9.0,3.0,5.0,4.0,6.0,18.0,1.0,5.0,4.0,5.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17.0,2.0,0.0,3.0,1.0,0.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,5.0,19.0,2.0,2.0,24.0,104.0,13.0,13.0,7.0,15.0,17.0,3.0,8.0,12.0,9.0,2.0,0.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
18.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,5.0,1.0,0.0,12.0,277.0,10.0,5.0,0.0,1.0,4.0,3.0,5.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
