TestId,ESVId,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession,PercMatch
UniCOI,ESV_194334,Eukaryota,Haptophyta,unk_class,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,AB000120,84.6
UniCOI,ESV_141877,Eukaryota,Haptophyta,unk_class,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,AB000120,95.2
UniCOI,ESV_022877,Eukaryota,Haptophyta,unk_class,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,AB000120,98.7
UniCOI,ESV_033481,Eukaryota,Haptophyta,unk_class,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,AB000120,84.7
UniCOI,ESV_022037,Eukaryota,Haptophyta,unk_class,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,AB000120,84.9
UniCOI,ESV_151956,Eukaryota,Haptophyta,unk_class,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,AB000120,94.9
UniCOI,ESV_194254,Eukaryota,Haptophyta,unk_class,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,AB000120,81.8
UniCOI,ESV_195390,Eukaryota,Haptophyta,unk_class,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,AB000120,94.9
UniCOI,ESV_195361,Eukaryota,Haptophyta,unk_class,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,AB000120,84.3
UniCOI,ESV_124496,Eukaryota,Haptophyta,unk_class,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,AB000120,84.7
UniCOI,ESV_195124,Eukaryota,Haptophyta,unk_class,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,AB000120,84.6
UniCOI,ESV_195072,Eukaryota,Haptophyta,unk_class,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,AB000120,84.3
