TestId,ESVId,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession,PercMatch
16S,ESV_156361,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudophaeobacter,,KX989223.1.1356,98
16S,ESV_156361,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,,KC121347.1.1357,97.2
16S,ESV_156361,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudophaeobacter,,AF359535.1.1348,97.2
16S,ESV_156361,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudophaeobacter,,AANB01000001.93134.94573,97.2
16S,ESV_155541,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudophaeobacter,,KX989223.1.1356,100
16S,ESV_155344,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,,,,MG002165.1.1226,98.8
16S,ESV_155344,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,,,,MG002013.1.1206,98.8
16S,ESV_155344,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,,,,MG001979.1.1226,98.8
16S,ESV_155344,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,,,,KX938050.1.1451,98.8
16S,ESV_155344,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,,,,KX937923.1.1452,98.8
16S,ESV_155344,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,,,,KX937922.1.1452,98.8
16S,ESV_155344,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,,,,KX937918.1.1451,98.8
16S,ESV_155344,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,,,,KJ958483.66042.67519,98.8
16S,ESV_155344,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,,,,KJ958480.66969.68456,98.8
