TestId,ESVId,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession,PercMatch
18Sv9_89,ESV_025878,Eukaryota,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacales,Lingulodinium,Lingulodinium_polyedrum,GABP01000002.324.2111,99.2
18Sv9_89,ESV_025721,Eukaryota,Cercozoa,Ascetosporea,Ascetosporea,Paradiniidae,Paradinium,,DQ369013.1.2023,100
18Sv9_89,ESV_025676,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudophaeobacter,Pseudophaeobacter_leonis,MWVJ01000089.3318.4759,100
18Sv9_89,ESV_025676,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sedimentitalea,,FJ716902.1.1458,100
18Sv9_89,ESV_025670,Eukaryota,Annelida,Polychaeta,Eunicida,Eunicida,Eunicida,,KT900302.1.1781,98.5
18Sv9_89,ESV_025670,Eukaryota,Annelida,Polychaeta,Eunicida,Eunicida,Eunicida,Onuphis_elegans,AY838854.1.1815,98.5
18Sv9_89,ESV_025670,Eukaryota,Annelida,Polychaeta,Eunicida,Eunicida,Eunicida,Eunice_pennata,AY838849.1.1815,98.5
18Sv9_89,ESV_025670,Eukaryota,Annelida,Polychaeta,Eunicida,Eunicida,Eunicida,Mooreonuphis_stigmatis,AY527055.1.1815,98.5
18Sv9_89,ESV_025670,Eukaryota,Annelida,Polychaeta,Eunicida,Eunicida,Eunicida,Hyalinoecia_tubicola,AF412794.1.1815,99.3
18Sv9_89,ESV_025670,Eukaryota,Annelida,Polychaeta,Eunicida,Eunicida,Eunicida,Nematonereis_unicornis,AF412792.1.1816,99.3
18Sv9_89,ESV_025670,Eukaryota,Annelida,Polychaeta,Eunicida,Eunicida,Eunicida,,AF412791.1.1815,99.3
18Sv9_89,ESV_025662,Eukaryota,Florideophycidae,Corallinophycidae,Corallinophycidae,Corallinophycidae,Mesophyllum,Mesophyllum_vancouveriense,KC157577.1.1731,95.4
18Sv9_89,ESV_025662,Eukaryota,Florideophycidae,Corallinophycidae,Corallinophycidae,Corallinophycidae,Mesophyllum,Mesophyllum_lichenoides,HQ322410.1.1783,95.4
18Sv9_89,ESV_025662,Eukaryota,Florideophycidae,Corallinophycidae,Corallinophycidae,Corallinophycidae,Mesophyllum,,GQ917411.1.1788,95.4
18Sv9_89,ESV_025662,Eukaryota,Florideophycidae,Corallinophycidae,Corallinophycidae,Corallinophycidae,Corallinophycidae,,GQ917391.1.1792,96.2
18Sv9_89,ESV_025662,Eukaryota,Florideophycidae,Corallinophycidae,Corallinophycidae,Corallinophycidae,Neogoniolithon,,DQ629006.1.1783,95.4
18Sv9_89,ESV_025662,Eukaryota,Florideophycidae,Corallinophycidae,Corallinophycidae,Corallinophycidae,Corallinophycidae,,DQ628972.1.1776,96.2
18Sv9_89,ESV_025429,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Mediophyceae,,KC771208.1.1802,98.5
18Sv9_89,ESV_025429,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Thalassiosira,,JQ782078.1.1800,98.5
18Sv9_89,ESV_025429,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Thalassiosira,Thalassiosira_minima,JF791059.1.1777,98.5
18Sv9_89,ESV_025429,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Thalassiosira,Thalassiosira_minuscula,HM991694.1.1756,98.5
18Sv9_89,ESV_025429,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Thalassiosira,Thalassiosira_lundiana,HM991692.1.1771,99.2
18Sv9_89,ESV_025429,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Thalassiosira,Thalassiosira_concaviuscula,HM991689.1.1762,99.2
