TestId,ESVId,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession,PercMatch
MiFishU,ESV_092238,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Clinocottus,Clinocottus recalvus,OQ846539,99.4
MiFishU,ESV_092237,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Clinocottus,Clinocottus recalvus,OQ846539,99.4
MiFishU,ESV_092236,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Clinocottus,Clinocottus recalvus,OQ846539,99.4
MiFishU,ESV_092235,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Clinocottus,Clinocottus recalvus,OQ846539,99.4
MiFishU,ESV_028240,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Clinocottus,Clinocottus recalvus,OQ846539,100
MiFishU,ESV_092234,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Atherinopsis,Atherinopsis californiensis,NC_067733,99.4
MiFishU,ESV_092233,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes rufus,OQ846227,98.8
MiFishU,ESV_092233,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes gilli,OQ846101,99.4
MiFishU,ESV_092233,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes trivittatus,NC_027446,98.8
MiFishU,ESV_092233,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes vulpes,NC_027438,98.8
MiFishU,ESV_092233,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes schlegelii,LC049851,98.8
MiFishU,ESV_092233,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes zonatus,LC026611,98.8
MiFishU,ESV_091813,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,Micrometrus,Micrometrus aurora,OQ846691,100
MiFishU,ESV_028147,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Oligocottus,Oligocottus snyderi,OQ846550,100
MiFishU,ESV_027353,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Clinocottus,Clinocottus analis,OQ846278,99.4
